Nombre,Direccion,Contacto,Horario,Google maps Ubicación (),Estado
Reciclalo con AdaMac,"CONVERSACIÓN PTE 1511 B, Miravalle, 20040 Aguascalientes, Ags., México.",Teléfono: +52 449 582 3510,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/TwTR8HDcp2Lz2Erg7,Aguascalientes
Recicladora Sepanal,"Rumorosa 16, Buena Vista, Sepanal, 22415 Tijuana, B.C., México",Teléfono: +52 664 372 1464.,"lunes a viernes de 7:30 a 17:00, sábado de 7:30 a 14:00, domingo cerrado",https://maps.app.goo.gl/AkCAkF77LSrzA9KB7,Baja California
RECICLADORA FUENTES,"Calle Bordo entre allende y rosales, Rinconada, Los Olivos, 23040 La Paz, B.C.S., México.",Teléfono: +52 612 137 9190.,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 18:00, domingo de 8:00 a 14:00.",https://maps.app.goo.gl/XyCH8nX16fkBKqvs8,Baja California Sur
Reciclaje Campeche,"C. 12 21-A, Barrio de San Francisco, 24010 San Francisco de Campeche, Camp., México.",Teléfono: +52 981 144 8666,"lunes a viernes de 8:00 a 17:00, sábado de 8:00 a 15:00, domingo cerrado.",https://maps.app.goo.gl/LK6eGqggbCPqC1ru8,Campeche
Ecocyc RAD,"Cvln. Tapachula 127-int. CC3, Moctezuma, 29066 Tuxtla Gutiérrez, Chis., México.",Teléfono: +52 961 176 4359,"lunes a viernes de 9:00 a 17:00, sábado de 9:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/kzt1sankUiAksFSx5,Chiapas
Technoyr,"Fco. I. Madero 105, Concordia, 31375 Chihuahua, Chih., México.",Teléfono: +52 614 345 7807.,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/AEWBMAvYVCXeUSLP6,Chihuahua
Reciclemos Juntos,"Jaime Torres Bodet 72, Sta María la Ribera Cuauhtémoc, 06400 Ciudad de México.",Teléfono: +52 5570456766,"lunes a viernes de 8:00 a 16:00, sábado de 8:00 a 15:00, domingo cerrado.",https://maps.app.goo.gl/4NA4Bpch1H5hXyxV7,Ciudad de México
FDN Recycling,"Calle, Blvd. Vito Alessio Robles 6599, Sin Nombre de Col 25, 25107 Saltillo, Coah., México",Teléfono: +52 844 416 4600,"lunes a viernes de 8:00 a 17:00, sábado de 8:00 a 13:00, domingo cerrado.",https://maps.app.goo.gl/NMpmTJqsRAVMcfPH7,Coahuila
Recicladora VESA ,"Blvd. Rodolfo Chávez Carrillo 501, Villas del Bosque, 28050 Colima, Col., México",Teléfono: +52 3121550834,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 15:00, domingo cerrado. ",https://maps.app.goo.gl/k7aXFF4TC47SC8hYA,Colima
Centro Reciclaje Durango,"Blvrd de la Juventud 1502, Solares 20 de Noviembre, 34287 Durango, Dgo., México",Teléfono: +52 6181568493,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/kJAiffNA8cFBfJPf9,Durango
Acopio Ecatepec PetStar,"C. Benito Juárez 650, Almarcigo Sur, 55310 Ecatepec de Morelos, Méx., México",Teléfono: +52 5555695448,"lunes a viernes de 9:00 a 18:00, sábado y domingo cerrado.",https://maps.app.goo.gl/4NA4Bpch1H5hXyxV7,Estado de México
"Reciclaje en Queretaro, Green Recycling","Prol. Bernardo Quintana 49, Las Americas, 76121 Santiago de Querétaro, Qro., México.",Teléfono: +52 4481507011,"lunes a viernes de 7:00 a 17:00, sábado de 8:00 a 12:00, domingo cerrado",https://maps.app.goo.gl/4nXVvLYCpZDZSvM38,Querétaro
Recicladora Gallardo,"Calle 60 Nte, Ejidal, 77712 Playa del Carmen, Q.R., México.",Teléfono: +52 9841073587,"lunes a viernes de 8:00 a 16:00, sábado de 8:00 a 13:00, domingo cerrado",https://maps.app.goo.gl/1mf3pbhoCx8MUdwq5,Quintana Roo
EduReciclajeAC,"Av. Damián Carmona 1725, Barrio de Santiago, 78049 San Luis Potosí, S.L.P., México.",Teléfono: +52 4446000883,"lunes a viernes de 10:00 a 19:00, sábado de 10:00 a 15:00, domingo cerrado.",https://maps.app.goo.gl/43eKsxeGVTfCcBNbA,San Luis Potosí
Reciclaje Electronico de Sinaloa,"Blvd. Xicotencatl 175, Las Vegas, 80090 Culiacán Rosales, Sin., México.",Teléfono: +52 6671305340,lunes a domingo de 9:00 a 19:00,https://maps.app.goo.gl/2uUJFA1TLTVLG5Kz6,Sinaloa
